Date,Open,High,Low,Close,ValChange,PctChange,Volume,Amount
1/4/10,2565.108,2570.152,2514.237,2514.646,-39.154,-1.5332,2732744300,36468522963
1/5/10,2526.291,2560.667,2487.048,2543.991,29.345,1.167,3537743800,50779118260
1/6/10,2538.285,2549.571,2513.365,2514.014,-29.977,-1.1783,2964615100,43444325534
1/7/10,2516.057,2527.427,2450.402,2463.758,-50.256,-1.999,3204318500,44611409814
1/8/10,2453.061,2470.024,2432.013,2466.165,2.407,0.0977,2268341000,32335059424
1/11/10,2584.528,2584.528,2467.67,2478.81,12.645,0.5127,4084119400,59816278688
1/12/10,2472.623,2513.298,2435.156,2508.039,29.229,1.1792,3804814600,51587338665
1/13/10,2444.237,2457.9,2396.474,2399.642,-108.397,-4.322,4955885400,64803855136
1/14/10,2412.634,2428.705,2384.165,2422.771,23.129,0.9639,3056221400,39708569808
1/15/10,2423.13,2445.203,2402.904,2427.807,5.036,0.2079,2599492800,34691328647
1/18/10,2414.893,2421.89,2398.778,2421.188,-6.619,-0.2726,3093634400,41866659345
1/19/10,2424.469,2450.281,2424.161,2432.713,11.525,0.476,2782907600,37544640666
1/20/10,2436.647,2439.468,2356.161,2359.485,-73.228,-3.0101,3474848500,45720566126
1/21/10,2362.597,2391.508,2346.148,2377.753,18.268,0.7742,2919614700,37804392708
1/22/10,2344.973,2398.989,2317.481,2380.055,2.302,0.0968,4063927200,49042084127
1/25/10,2355.357,2389.627,2350.009,2353.471,-26.584,-1.1169,2074988000,26430130648
1/26/10,2354.905,2363.411,2296.875,2311.447,-42.024,-1.7856,2470038300,30347743465
1/27/10,2313.007,2319.993,2260.564,2264.605,-46.842,-2.0265,2228021200,27288373309
1/28/10,2263.061,2267.853,2235.603,2252.61,-11.995,-0.5297,1902345600,23754286041
1/29/10,2241.117,2276.767,2231.649,2243.994,-8.616,-0.3825,1862603600,23861735672
2/1/10,2238.617,2238.898,2182.952,2208.936,-35.058,-1.5623,2208243700,28608214630
2/2/10,2223.598,2261.633,2210.696,2214.033,5.097,0.2307,1964011600,25970058516
2/3/10,2226.797,2278.475,2190.428,2277.798,63.765,2.88,2483645000,32146915297
2/4/10,2258.084,2276.47,2247.64,2261.358,-16.44,-0.7217,1718266700,21637703163
2/5/10,2212.308,2233.315,2204.929,2219.6,-41.758,-1.8466,1845618200,22714229934
2/8/10,2220.842,2233.135,2201.802,2211.135,-8.465,-0.3814,1200679600,15532833677
2/9/10,2210.328,2234.53,2207.848,2229.038,17.903,0.8097,1054168300,13316002985
2/10/10,2246.77,2260.479,2239.177,2259.99,30.952,1.3886,1208484800,16865860503
2/11/10,2261.823,2275.759,2254.975,2265.138,5.148,0.2278,1253547900,15327711044
2/12/10,2275.592,2286.676,2270.756,2284.386,19.248,0.8497,1302626000,16653482712
2/22/10,2282.09,2291.783,2268.092,2269.045,-15.341,-0.6716,1368835900,16865165200
2/23/10,2261.993,2261.993,2202.214,2227.952,-41.093,-1.811,1527639500,25286082271
2/24/10,2211.393,2252.645,2204.675,2251.7,23.748,1.0659,1681535200,21257295094
2/25/10,2254.801,2286.92,2251.963,2282.64,30.94,1.3741,2418677900,32214891643
2/26/10,2278.432,2288.597,2270.769,2274.325,-8.315,-0.3643,1527405900,19400436299
3/1/10,2282.338,2316.384,2281.699,2311.075,36.75,1.6159,1931267500,25599322599
